flash,ram,text,code,rodata,data,bss,dec,hex,filename,filename
142,0,142,142,0,0,0,142,`8e,tutu_pflpop_armv7a_rvct.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
130,0,130,130,0,0,0,130,`82,tutu_preprop_armv7a_rvct.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
456,0,456,456,0,0,0,456,`1c8,tutu_comm_armv7a_rvct.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
876,492,384,384,0,492,0,876,`36c,tutuClear.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
294,0,294,294,0,0,0,294,`126,tutuLrn.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
946,0,946,946,0,0,0,946,`3b2,tutu_core.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
712,0,712,712,0,0,0,712,`2c8,tutu_ctrl.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
1772,0,1772,1762,10,0,0,1772,`6ec,tutu_init.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
288,0,288,288,0,0,0,288,`120,tutu_memctrl.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
1660,0,1660,1660,0,0,0,1660,`67c,tutu_pflpop.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
96,0,96,96,0,0,0,96,`60,tutu_preproc.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
642,0,642,642,0,0,0,642,`282,tutu_t2f.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
204280,0,204280,1672,202608,0,0,204280,`31df8,tutu_vtrgr.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
712,0,712,712,0,0,0,712,`2c8,tutu_basicop.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
1616,0,1616,1616,0,0,0,1616,`650,tutu_comm.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
36,0,36,36,0,0,0,36,`24,tutu_diagnostics.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
312,0,312,268,44,0,0,312,`138,tutu_fft_lib.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
4106,0,4106,0,4106,0,0,4106,`100a,tutu_constvar.o (ex /Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a),/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
221218,492,220726,13958,206768,492,0,221218,`36022,/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a,/Users/rohit/repos/TuyaOpen/platform/T5AI/t5_os/ap/../../tuyaos/tuyaos_adapter/include/kws/libtutuClear/libtutuClear_wakeup_nihaotuya_xiaozhitongxue_heytuya_hituya_20251024_small_model.a
13062,92,13062,1716,11346,0,92,13154,`3362,trap_base_smp.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
511,16,511,448,63,0,16,527,`20f,mpu.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
289,0,289,152,137,0,0,289,`121,stack_base.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
112,0,112,112,0,0,0,112,`70,arm.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
226,256,226,226,0,0,256,482,`1e2,arch_interrupt.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
112,0,112,112,0,0,0,112,`70,dwt.c.obj (ex armino/cm33/libcm33.a),armino/cm33/libcm33.a
14312,364,14312,2766,11546,0,364,14676,`3954,armino/cm33/libcm33.a,armino/cm33/libcm33.a
147,4,147,120,27,0,4,151,`97,reset_reason.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
56,13,56,56,0,0,13,69,`45,wdt_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3001,246,2992,1492,1500,9,237,3238,`ca6,gpio_driver_base.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3047,4,3047,2028,1019,0,4,3051,`beb,bk_api_ipc.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
458,24,458,428,30,0,24,482,`1e2,amp_res_lock.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1083,256,1083,862,221,0,256,1339,`53b,spinlock.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
286,0,286,286,0,0,0,286,`11e,sys_int_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
318,0,318,318,0,0,0,318,`13e,sys_clock_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
664,0,664,152,512,0,0,664,`298,interrupt_base.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
40,0,40,40,0,0,0,40,`28,aon_pmu_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1431,673,1431,1416,15,0,673,2104,`838,mailbox_channel.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1024,120,1024,956,68,0,120,1144,`478,mb_ipc_cmd.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
104,0,104,104,0,0,0,104,`68,mb_chnl_buff.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1768,0,1768,1768,0,0,0,1768,`6e8,interrupt.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
78,0,78,38,40,0,0,78,`4e,sys_driver_common.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
256,111,256,256,0,0,111,367,`16f,mbox0_adapter.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
428,25,428,404,24,0,25,453,`1c5,mbox0_drv.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
70,0,70,70,0,0,0,70,`46,mbox0_cross_core.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
252,17,252,252,0,0,17,269,`10d,flash_notify.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3346,10,3346,2012,1334,0,10,3356,`d1c,flash_client.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
116,0,116,116,0,0,0,116,`74,driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
106,0,106,106,0,0,0,106,`6a,sys_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
172,0,172,172,0,0,0,172,`ac,sys_ps_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
26,0,26,26,0,0,0,26,`1a,sys_psram_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
24,460,24,24,0,0,460,484,`1e4,drv_model.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
360,33,360,360,0,0,33,393,`189,timer_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3195,141,3147,2732,415,48,93,3288,`cd8,uart_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
4506,0,4506,4388,118,0,0,4506,`119a,printf.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
267,10,267,168,99,0,10,277,`115,saradc_client.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
64,4,64,64,0,0,4,68,`44,saradc_notify.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1346,28,1346,1176,170,0,28,1374,`55e,pwr_clk.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
444,560,444,444,0,0,560,1004,`3ec,pm_ap_misc.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
745,4,745,440,305,0,4,749,`2ed,pm_ap_core.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1779,45,1779,1460,319,0,45,1824,`720,h264_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1413,13,1413,996,417,0,13,1426,`592,rott_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1092,81,1092,920,172,0,81,1173,`495,yuv_buf_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3277,44,3273,2824,449,4,40,3317,`cf5,hw_scale_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
10,0,10,10,0,0,0,10,`a,sys_usb_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3288,669,3288,3030,258,0,669,3957,`f75,dma_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
3267,153,3267,3000,267,0,153,3420,`d5c,i2c_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
2837,257,2837,2708,129,0,257,3094,`c16,pwm_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
6941,303,6941,6440,501,0,303,7244,`1c4c,i2s_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
2645,63,2645,2282,363,0,63,2708,`a94,lcd_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1235,45,1235,974,261,0,45,1280,`500,jpeg_dec_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
688,25,688,564,124,0,25,713,`2c9,dma2d_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
156,13,156,156,0,0,13,169,`a9,trng_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
313,0,313,20,293,0,0,313,`139,flash_partition.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1031,146,935,788,147,96,50,1081,`439,spi_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
32,64,32,32,0,0,64,96,`60,spi_statis.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
884,25,860,792,68,24,1,885,`375,qspi_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
2797,30,2772,2200,572,25,5,2802,`af2,lcd_qspi_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
916,71,910,880,30,6,65,981,`3d5,jpeg_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
233,2,233,168,65,0,2,235,`eb,psram_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
104,8,104,104,0,0,8,112,`70,aon_rtc_driver_64bit.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
880,30,880,580,300,0,30,910,`38e,sdio_host_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
588,21,588,588,0,0,21,609,`261,aud_common_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1159,0,1159,966,193,0,0,1159,`487,aud_adc_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
880,0,880,680,200,0,0,880,`370,aud_dmic_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
1288,0,1288,1054,234,0,0,1288,`508,aud_dac_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
668,0,668,668,0,0,0,668,`29c,audio_ring_buff.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
4144,1753,3736,3268,468,408,1345,5489,`1571,mb_ipc.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
141,0,141,88,53,0,0,141,`8d,mb_ipc_heartbeat.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
424,0,424,200,224,0,0,424,`1a8,gpio_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
550,8,550,412,138,0,8,558,`22e,pm_ap_demo.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
666,0,666,666,0,0,0,666,`29a,sys_audio_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
572,4,572,572,0,0,4,576,`240,sys_video_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
104,0,104,104,0,0,0,104,`68,sys_bt_driver.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
718,0,718,678,40,0,0,718,`2ce,lcd_spi.c.obj (ex armino/driver/libdriver.a),armino/driver/libdriver.a
76948,6616,76328,64146,12182,620,5996,82944,`14400,armino/driver/libdriver.a,armino/driver/libdriver.a
1185,75,1184,1082,102,1,74,1259,`4eb,printf.c.obj (ex armino/bk_system/libbk_system.a),armino/bk_system/libbk_system.a
24,0,24,24,0,0,0,24,`18,reboot.c.obj (ex armino/bk_system/libbk_system.a),armino/bk_system/libbk_system.a
36,1,36,36,0,0,1,37,`25,printf_base.c.obj (ex armino/bk_system/libbk_system.a),armino/bk_system/libbk_system.a
54,0,54,54,0,0,0,54,`36,delay.c.obj (ex armino/bk_system/libbk_system.a),armino/bk_system/libbk_system.a
34,0,34,34,0,0,0,34,`22,tick.c.obj (ex armino/bk_system/libbk_system.a),armino/bk_system/libbk_system.a
1333,76,1332,1230,102,1,75,1408,`580,armino/bk_system/libbk_system.a,armino/bk_system/libbk_system.a
260,4,260,172,88,0,4,264,`108,components_init.c.obj (ex armino/bk_init/libbk_init.a),armino/bk_init/libbk_init.a
213,0,213,164,49,0,0,213,`d5,bk_init.c.obj (ex armino/bk_init/libbk_init.a),armino/bk_init/libbk_init.a
473,4,473,336,137,0,4,477,`1dd,armino/bk_init/libbk_init.a,armino/bk_init/libbk_init.a
2116,11,2114,1660,454,2,9,2125,`84d,cli_main.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
1084,16,1084,774,310,0,16,1100,`44c,cli_pwr.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
41,0,41,12,29,0,0,41,`29,cli_iperf.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
1274,0,1274,748,526,0,0,1274,`4fa,cli_netif.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
3103,36,3103,2360,743,0,36,3139,`c43,cli_i2s.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
5659,3207,5628,5204,424,31,3176,8835,`2283,shell_task.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
1318,276,1042,1010,32,276,0,1318,`526,shell_mailbox_cp1.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
800,0,800,372,428,0,0,800,`320,cli_modem.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
912,0,912,712,200,0,0,912,`390,cli_event.c.obj (ex armino/bk_cli/libbk_cli.a),armino/bk_cli/libbk_cli.a
16307,3546,15998,12852,3146,309,3237,19544,`4c58,armino/bk_cli/libbk_cli.a,armino/bk_cli/libbk_cli.a
1062,16,1062,664,398,0,16,1078,`436,tkl_sleep.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
280,16,280,280,0,0,16,296,`128,tuya_tkl_ipc.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
400,12,400,346,54,0,12,412,`19c,tkl_hci_1.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
836,20,836,484,352,0,20,856,`358,tkl_wakeup.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
607,4,607,344,263,0,4,611,`263,tkl_memory.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
369,0,369,314,55,0,0,369,`171,tkl_mutex.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
176,0,176,176,0,0,0,176,`b0,tkl_semaphore.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
195,4,195,146,49,0,4,199,`c7,tkl_system.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
251,16,251,160,91,0,16,267,`10b,tkl_ipc.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
3636,61,3592,2650,942,44,17,3653,`e45,tkl_wifi.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
424,4,424,396,28,0,4,428,`1ac,tkl_flash.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
324,84,240,216,24,84,0,324,`144,tkl_pinmux.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1429,684,745,584,161,684,0,1429,`595,tkl_gpio.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
2076,80,2060,1892,168,16,64,2140,`85c,tkl_i2c.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
750,729,750,712,38,0,729,1479,`5c7,tuya_dma.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1944,0,1944,1618,326,0,0,1944,`798,tkl_network.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
20,0,20,20,0,0,0,20,`14,tkl_output.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
206,0,206,206,0,0,0,206,`ce,tkl_queue.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
196,0,196,196,0,0,0,196,`c4,tkl_thread.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
73,0,73,36,37,0,0,73,`49,tkl_watchdog.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
2649,51,2641,1820,821,8,43,2692,`a84,tkl_audio.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
721,17,721,552,169,0,17,738,`2e2,tkl_vad.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1037,92,989,736,253,48,44,1081,`439,tkl_kws.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1477,8,1477,1364,113,0,8,1485,`5cd,tkl_rgb.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
577,195,576,564,12,1,194,771,`303,tkl_pwm.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
420,4,420,270,150,0,4,424,`1a8,tkl_uart.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
646,8,646,538,108,0,8,654,`28e,tkl_dma2d.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
3798,166,3641,2988,653,157,9,3807,`edf,tkl_dvp.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1627,1172,1623,1250,373,4,1168,2795,`aeb,tkl_ota.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
1640,36,1640,1096,544,0,36,1676,`68c,ota_head.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
44,0,44,44,0,0,0,44,`2c,tuya_list.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
456,0,456,456,0,0,0,456,`1c8,tuya_queue.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
516,0,516,516,0,0,0,516,`204,tuya_ringbuf.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
340,0,340,340,0,0,0,340,`154,encrypt.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
126,0,126,108,18,0,0,126,`7e,tkl_otp_flash.c.obj (ex armino/tuyaos_adapter/libtuyaos_adapter.a),armino/tuyaos_adapter/libtuyaos_adapter.a
